uvkey,aqi
"(482771696, 1287788063, 0)",1.815
"(2180350701, 34164600, 0)",1.815
"(2180350701, 287428348, 0)",1.815
"(2180350701, 2432481628, 0)",1.802
"(710738679, 710738671, 0)",1.835
"(710738679, 1319430524, 0)",1.841
"(710738679, 932560421, 0)",1.824
"(34177784, 34177777, 0)",1.905
"(34177784, 482735781, 0)",1.918
"(34177784, 664445092, 0)",1.918
"(34177785, 482735783, 0)",1.867
"(34177785, 366828629, 0)",1.867
"(34177785, 664445092, 0)",1.867
"(34177785, 366830824, 0)",1.88
"(730792700, 3646557084, 0)",1.854
"(730792700, 730792703, 0)",1.854
"(730792700, 2815390946, 0)",1.854
"(730792700, 2496453727, 0)",1.815
"(730792703, 730792700, 0)",1.854
"(730792703, 1011769062, 0)",1.841
"(730792703, 1011769380, 0)",1.854
"(34177796, 482782746, 0)",1.893
"(34177796, 496802387, 0)",1.905
"(34177796, 2434430318, 0)",1.841
"(34177797, 482782745, 0)",1.867
"(34177797, 504482872, 0)",1.893
"(34177797, 664438482, 0)",1.841
"(34177798, 33981157, 0)",1.944
"(34177798, 310626458, 0)",2.009
"(34177798, 1011769228, 0)",1.893
"(34177798, 478498181, 0)",1.858
"(95650594, 593526474, 0)",1.931
"(95650594, 1433275300, 0)",1.931
"(95650594, 670397098, 0)",1.854
"(412615506, 412632522, 0)",1.88
"(456819554, 932648714, 0)",1.867
"(456819554, 1111342103, 0)",1.854
"(456819554, 1319430522, 0)",1.828
"(392299372, 266719763, 0)",1.905
"(670401408, 670370007, 0)",1.893
